self.yaw: -2.3119821548461914
self.home: array('f', [-1.267073392868042, 6.374765396118164, 2.511545419692993])
shift: [0. 0. 0.]
apriltag bezier - count : 406,   delta_t : 2,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.9958632   6.37712049 -6.56881237]
apriltag bezier - count : 406,   delta_t : 3,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.99510813  6.37705374 -6.56222916]
apriltag bezier - count : 406,   delta_t : 4,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.99338979  6.37697172 -6.54891396]
apriltag bezier - count : 406,   delta_t : 5,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.99076134  6.37671661 -6.52894354]
apriltag bezier - count : 406,   delta_t : 6,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.9899869   6.37665224 -6.52233458]
apriltag bezier - count : 406,   delta_t : 7,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.98785764  6.37644005 -6.50273037]
apriltag bezier - count : 406,   delta_t : 8,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.98627299  6.37633801 -6.48997021]
apriltag bezier - count : 406,   delta_t : 9,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.98536456  6.37629271 -6.48350954]
apriltag bezier - count : 406,   delta_t : 10,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.98281664  6.37605762 -6.46448421]
apriltag bezier - count : 406,   delta_t : 11,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.98209751  6.37599611 -6.45824718]
apriltag bezier - count : 406,   delta_t : 12,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.98059511  6.37599373 -6.44601727]
apriltag bezier - count : 406,   delta_t : 13,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97875714  6.3758173  -6.42823267]
apriltag bezier - count : 406,   delta_t : 14,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97776955  6.37561846 -6.41643286]
apriltag bezier - count : 406,   delta_t : 15,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97681791  6.37557554 -6.4044075 ]
apriltag bezier - count : 406,   delta_t : 16,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97635633  6.37558699 -6.39844751]
apriltag bezier - count : 406,   delta_t : 17,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97528034  6.3755331  -6.38085508]
apriltag bezier - count : 406,   delta_t : 18,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97466969  6.37544012 -6.36909914]
apriltag bezier - count : 406,   delta_t : 19,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97442687  6.37544203 -6.3632412 ]
apriltag bezier - count : 406,   delta_t : 20,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97350079  6.37543964 -6.34581614]
apriltag bezier - count : 406,   delta_t : 21,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97292328  6.37534428 -6.33431149]
apriltag bezier - count : 406,   delta_t : 22,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97261381  6.37535048 -6.32860947]
apriltag bezier - count : 406,   delta_t : 23,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97208124  6.37514067 -6.31713676]
apriltag bezier - count : 406,   delta_t : 24,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97086251  6.37517786 -6.29913568]
apriltag bezier - count : 406,   delta_t : 25,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.97046262  6.37528133 -6.29302835]
apriltag bezier - count : 406,   delta_t : 26,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96934813  6.37560129 -6.27410936]
apriltag bezier - count : 406,   delta_t : 27,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96883398  6.37586641 -6.26102304]
apriltag bezier - count : 406,   delta_t : 28,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.9686355   6.3760047  -6.25428915]
apriltag bezier - count : 406,   delta_t : 29,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96783257  6.37617588 -6.23338985]
apriltag bezier - count : 406,   delta_t : 30,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96783257  6.37617588 -6.23338985]
apriltag bezier - count : 406,   delta_t : 31,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96698743  6.37627125 -6.21196985]
apriltag bezier - count : 406,   delta_t : 32,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.9661746   6.37619114 -6.1905303 ]
apriltag bezier - count : 406,   delta_t : 33,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96594101  6.37606764 -6.17626143]
apriltag bezier - count : 406,   delta_t : 34,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96564245  6.37601852 -6.16897678]
apriltag bezier - count : 406,   delta_t : 35,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96489167  6.37586689 -6.14713955]
apriltag bezier - count : 406,   delta_t : 36,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96477681  6.37582874 -6.13984203]
apriltag bezier - count : 406,   delta_t : 37,   xf : [-1.43783963  6.77155352  1.51054692],   vehicle_position : [-0.96446609  6.37585592 -6.12532425]
