self.yaw: 1.146788239479065
self.home: array('f', [-6.515322208404541, 138.92196655273438, -48.82647705078125])
shift: [0. 0. 0.]
apriltag bezier - count : 889,   delta_t : 22,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.21705222 -1.90010726 -6.47377634]
apriltag bezier - count : 889,   delta_t : 23,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.20417547 -1.89223015 -6.45569563]
apriltag bezier - count : 889,   delta_t : 24,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.19141567 -1.8843621  -6.43778324]
apriltag bezier - count : 889,   delta_t : 25,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.182971   -1.8791281  -6.42595959]
apriltag bezier - count : 889,   delta_t : 26,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.17890382 -1.87647724 -6.4208498 ]
apriltag bezier - count : 889,   delta_t : 27,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.16673338 -1.86854565 -6.40548229]
apriltag bezier - count : 889,   delta_t : 28,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.15866923 -1.86327469 -6.39520359]
apriltag bezier - count : 889,   delta_t : 29,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.14663374 -1.85538602 -6.37971258]
apriltag bezier - count : 889,   delta_t : 30,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.13465798 -1.84752059 -6.36414194]
apriltag bezier - count : 889,   delta_t : 31,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.13068461 -1.84490025 -6.35893488]
apriltag bezier - count : 889,   delta_t : 32,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.11089027 -1.83186328 -6.33336735]
apriltag bezier - count : 889,   delta_t : 33,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.10285294 -1.82677555 -6.32433844]
apriltag bezier - count : 889,   delta_t : 34,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.09059191 -1.81931639 -6.31260824]
apriltag bezier - count : 889,   delta_t : 35,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.08227742 -1.81445658 -6.30595112]
apriltag bezier - count : 889,   delta_t : 36,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.06961024 -1.80731189 -6.29751253]
apriltag bezier - count : 889,   delta_t : 37,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.06105268 -1.80262876 -6.29273891]
apriltag bezier - count : 889,   delta_t : 38,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.05241573 -1.79799128 -6.28852081]
apriltag bezier - count : 889,   delta_t : 39,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.03929651 -1.79111409 -6.28298426]
apriltag bezier - count : 889,   delta_t : 40,   xf : [-1.82833612 -0.84188312  1.27768064],   vehicle_position : [ 1.02603042 -1.78431797 -6.2780838 ]
