self.yaw: 1.6196491718292236
self.home: array('f', [-0.005611014552414417, -0.0011992281069979072, 0.3003987669944763])
apriltag bezier - count : 937,   delta_t : 32,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.1178909  -0.04020821 -7.61722374]
apriltag bezier - count : 937,   delta_t : 33,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11713395 -0.03963239 -7.61018848]
apriltag bezier - count : 937,   delta_t : 34,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11628818 -0.03921824 -7.60286617]
apriltag bezier - count : 937,   delta_t : 35,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11487716 -0.03888577 -7.5913949 ]
apriltag bezier - count : 937,   delta_t : 36,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11623774 -0.03712915 -7.58746672]
apriltag bezier - count : 937,   delta_t : 37,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11801199 -0.03488435 -7.58076715]
apriltag bezier - count : 937,   delta_t : 38,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.11947928 -0.03309077 -7.57315731]
apriltag bezier - count : 937,   delta_t : 39,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12030022 -0.03213738 -7.56764174]
apriltag bezier - count : 937,   delta_t : 40,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12134526 -0.03106284 -7.5587225 ]
apriltag bezier - count : 937,   delta_t : 41,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12191506 -0.03056355 -7.55239058]
apriltag bezier - count : 937,   delta_t : 42,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12260449 -0.03011852 -7.54233646]
apriltag bezier - count : 937,   delta_t : 43,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12295793 -0.03003119 -7.53528786]
apriltag bezier - count : 937,   delta_t : 44,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12335891 -0.03020171 -7.52423382]
apriltag bezier - count : 937,   delta_t : 45,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12354627 -0.03050254 -7.51655006]
apriltag bezier - count : 937,   delta_t : 46,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12482821 -0.02987806 -7.5105114 ]
apriltag bezier - count : 937,   delta_t : 47,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.12825301 -0.02772387 -7.50359154]
apriltag bezier - count : 937,   delta_t : 48,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13037078 -0.02656637 -7.49852085]
apriltag bezier - count : 937,   delta_t : 49,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13332202 -0.02523587 -7.49027967]
apriltag bezier - count : 937,   delta_t : 50,   xf : [-1.59237361 -1.50677133  1.02750778],   vehicle_position : [-0.13603111 -0.02435807 -7.48130178]
apriltag bezier - count : 818,   delta_t : 1,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.13771766 -0.02399823 -7.47490835]
apriltag bezier - count : 818,   delta_t : 2,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.1401155  -0.02374401 -7.46465874]
apriltag bezier - count : 818,   delta_t : 3,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.14162415 -0.02375721 -7.45739651]
apriltag bezier - count : 818,   delta_t : 4,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.14374742 -0.02405164 -7.44599867]
apriltag bezier - count : 818,   delta_t : 5,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.14508723 -0.02440524 -7.4382658 ]
apriltag bezier - count : 818,   delta_t : 6,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.14697237 -0.02515624 -7.42662001]
apriltag bezier - count : 818,   delta_t : 7,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.14814921 -0.02578134 -7.4188509 ]
apriltag bezier - count : 818,   delta_t : 8,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.14926267 -0.02650374 -7.41107988]
apriltag bezier - count : 818,   delta_t : 9,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.15081197 -0.02776029 -7.39938021]
apriltag bezier - count : 818,   delta_t : 10,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.15218663 -0.02920811 -7.3876133 ]
apriltag bezier - count : 818,   delta_t : 11,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.1530043  -0.03026256 -7.37968874]
apriltag bezier - count : 818,   delta_t : 12,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.15405333 -0.03193613 -7.36765146]
apriltag bezier - count : 818,   delta_t : 13,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.15464975 -0.03310627 -7.35953283]
apriltag bezier - count : 818,   delta_t : 14,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.15719014 -0.03335024 -7.34915113]
apriltag bezier - count : 818,   delta_t : 15,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.16107413 -0.03154976 -7.34456444]
apriltag bezier - count : 818,   delta_t : 16,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.164729   -0.02989864 -7.33972454]
apriltag bezier - count : 818,   delta_t : 17,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.16980508 -0.02767773 -7.33200836]
apriltag bezier - count : 818,   delta_t : 18,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.17292559 -0.02636356 -7.32658815]
apriltag bezier - count : 818,   delta_t : 19,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.17722492 -0.02461257 -7.31802559]
apriltag bezier - count : 818,   delta_t : 20,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.1798531  -0.02357733 -7.31203794]
apriltag bezier - count : 818,   delta_t : 21,   xf : [-0.86589909 -1.41050303  0.31611091],   vehicle_position : [-0.18346174 -0.0222286  -7.30264282]
