self.yaw: -3.1401572227478027
self.home: array('f', [-0.29942286014556885, 0.6769797205924988, -12.380651473999023])
apriltag bezier - count : 583,   delta_t : 5,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.39249107   0.63534349 -21.72299194]
apriltag bezier - count : 583,   delta_t : 6,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.39149576   0.63556904 -21.71347427]
apriltag bezier - count : 583,   delta_t : 7,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.39063945   0.63584822 -21.70409393]
apriltag bezier - count : 583,   delta_t : 8,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.389792     0.63621998 -21.6948967 ]
apriltag bezier - count : 583,   delta_t : 9,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38884014   0.636392   -21.68511772]
apriltag bezier - count : 583,   delta_t : 10,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38778213   0.63652354 -21.67507935]
apriltag bezier - count : 583,   delta_t : 11,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38674498   0.63650495 -21.66500854]
apriltag bezier - count : 583,   delta_t : 12,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38575545   0.63631397 -21.65497208]
apriltag bezier - count : 583,   delta_t : 13,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38478175   0.63633317 -21.64506912]
apriltag bezier - count : 583,   delta_t : 14,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3839283    0.63624769 -21.63482475]
apriltag bezier - count : 583,   delta_t : 15,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38320398   0.63609391 -21.62429619]
apriltag bezier - count : 583,   delta_t : 16,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38240924   0.63603061 -21.6137886 ]
apriltag bezier - count : 583,   delta_t : 17,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3820014    0.63591671 -21.60853386]
apriltag bezier - count : 583,   delta_t : 18,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.38095897   0.6356914  -21.59280205]
apriltag bezier - count : 583,   delta_t : 19,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3801339    0.63563812 -21.58207321]
apriltag bezier - count : 583,   delta_t : 20,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37964675   0.6355859  -21.57662964]
apriltag bezier - count : 583,   delta_t : 21,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37819642   0.63557547 -21.56033516]
apriltag bezier - count : 583,   delta_t : 22,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37771696   0.63556862 -21.55484581]
apriltag bezier - count : 583,   delta_t : 23,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3763229    0.63548523 -21.53847694]
apriltag bezier - count : 583,   delta_t : 24,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3754504    0.6355449  -21.52710915]
apriltag bezier - count : 583,   delta_t : 25,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37444124   0.63540155 -21.5152359 ]
apriltag bezier - count : 583,   delta_t : 26,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37340435   0.63527507 -21.50349426]
apriltag bezier - count : 583,   delta_t : 27,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37253129   0.63522023 -21.49175262]
apriltag bezier - count : 583,   delta_t : 28,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37177497   0.63515753 -21.48009109]
apriltag bezier - count : 583,   delta_t : 29,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.37091595   0.63505715 -21.46810913]
apriltag bezier - count : 583,   delta_t : 30,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3699916    0.63493383 -21.45588684]
apriltag bezier - count : 583,   delta_t : 31,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3692292    0.63491768 -21.44365883]
apriltag bezier - count : 583,   delta_t : 32,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.36860898   0.6349225  -21.43151855]
apriltag bezier - count : 583,   delta_t : 33,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3678686    0.63488024 -21.41946793]
apriltag bezier - count : 583,   delta_t : 34,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3674053    0.63492346 -21.41339684]
apriltag bezier - count : 583,   delta_t : 35,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.3659116    0.63448697 -21.39441872]
apriltag bezier - count : 583,   delta_t : 36,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.36513588   0.63425434 -21.38189888]
apriltag bezier - count : 583,   delta_t : 37,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.36426085   0.63407046 -21.36938667]
apriltag bezier - count : 583,   delta_t : 38,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.36326376   0.63385922 -21.35696602]
apriltag bezier - count : 583,   delta_t : 39,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.36284068   0.63379723 -21.35079956]
apriltag bezier - count : 583,   delta_t : 40,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.36169949   0.63347942 -21.33777428]
apriltag bezier - count : 583,   delta_t : 41,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.35998872   0.63308942 -21.31813622]
apriltag bezier - count : 583,   delta_t : 42,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.35866436   0.63287377 -21.30516434]
apriltag bezier - count : 583,   delta_t : 43,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.35735503   0.63263601 -21.29223442]
apriltag bezier - count : 583,   delta_t : 44,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.35598055   0.63235056 -21.27893257]
apriltag bezier - count : 583,   delta_t : 45,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.35441363   0.63224137 -21.26538086]
apriltag bezier - count : 583,   delta_t : 46,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.35356769   0.63225102 -21.25862503]
apriltag bezier - count : 583,   delta_t : 47,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.35196194   0.63209879 -21.24491882]
apriltag bezier - count : 583,   delta_t : 48,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.34946901   0.63198155 -21.2241745 ]
apriltag bezier - count : 583,   delta_t : 49,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.34770721   0.63181758 -21.21017075]
apriltag bezier - count : 583,   delta_t : 50,   xf : [  0.86366063   0.80885708 -10.16034317],   vehicle_position : [ -0.34770721   0.63181758 -21.21017075]
apriltag bezier - count : 582,   delta_t : 1,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.34532556   0.63164824 -21.18775368]
apriltag bezier - count : 582,   delta_t : 2,   xf : [ 0.81242478  0.88086492 -9.60408688],   vehicle_position : [ -0.34129608   0.63115239 -21.1503849 ]
