self.yaw: -2.778215169906616
self.home: array('f', [0.0726923793554306, 0.6359039545059204, 3.1788148880004883])
edge case - count_goal : 489,   delta_t_goal : 141,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.09082069  0.59191513 -5.37651062]
edge case - count_goal : 489,   delta_t_goal : 142,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.09286337  0.59025639 -5.35094404]
edge case - count_goal : 489,   delta_t_goal : 143,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.09427382  0.58917719 -5.33382797]
edge case - count_goal : 489,   delta_t_goal : 144,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.09501299  0.58876622 -5.32518053]
edge case - count_goal : 489,   delta_t_goal : 145,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.09642926  0.58763939 -5.30787802]
edge case - count_goal : 489,   delta_t_goal : 146,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.09789418  0.58658856 -5.29020023]
edge case - count_goal : 489,   delta_t_goal : 147,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.10036629  0.58506429 -5.26320982]
edge case - count_goal : 489,   delta_t_goal : 148,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.10204886  0.58392173 -5.24512243]
edge case - count_goal : 489,   delta_t_goal : 149,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.10381433  0.58266544 -5.22697687]
edge case - count_goal : 489,   delta_t_goal : 150,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.10485438  0.58208299 -5.21779585]
edge case - count_goal : 489,   delta_t_goal : 151,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.10747864  0.58047569 -5.18994808]
edge case - count_goal : 489,   delta_t_goal : 152,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.10917687  0.57937008 -5.17132521]
edge case - count_goal : 489,   delta_t_goal : 153,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.11105031  0.57837486 -5.15258408]
edge case - count_goal : 489,   delta_t_goal : 154,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.11288289  0.57739884 -5.13370323]
edge case - count_goal : 489,   delta_t_goal : 155,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.11385273  0.57691413 -5.12425327]
edge case - count_goal : 489,   delta_t_goal : 156,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.11655331  0.57562655 -5.09549904]
edge case - count_goal : 489,   delta_t_goal : 157,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.11835144  0.57474887 -5.07622433]
edge case - count_goal : 489,   delta_t_goal : 158,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.12025368  0.57380688 -5.05682373]
edge case - count_goal : 489,   delta_t_goal : 159,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.12214201  0.5728538  -5.03723955]
edge case - count_goal : 489,   delta_t_goal : 160,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.12310371  0.57238102 -5.02738857]
edge case - count_goal : 489,   delta_t_goal : 161,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.12613012  0.57095909 -4.99754715]
edge case - count_goal : 489,   delta_t_goal : 162,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.12829608  0.57002217 -4.9774909 ]
edge case - count_goal : 489,   delta_t_goal : 163,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.13044809  0.56910801 -4.95730495]
edge case - count_goal : 489,   delta_t_goal : 164,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.13254514  0.56809652 -4.93712521]
edge case - count_goal : 489,   delta_t_goal : 165,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.13464561  0.56734836 -4.91676188]
edge case - count_goal : 489,   delta_t_goal : 166,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.13666016  0.56659824 -4.89614773]
edge case - count_goal : 489,   delta_t_goal : 167,   xf_goal : [0.07269238 0.63590395 3.17881489],   vehicle_position : [ 0.13864157  0.56578994 -4.87550116]
