self.yaw: -3.0998754501342773
self.home: array('f', [3.942152738571167, -2.698303461074829, 1.8055087327957153])
apriltag bezier - count : 398,   delta_t : 35,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.94925857 -2.76325703 -6.97717905]
apriltag bezier - count : 398,   delta_t : 36,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95011663 -2.76329684 -6.96295595]
apriltag bezier - count : 398,   delta_t : 37,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95089126 -2.76317978 -6.94881248]
apriltag bezier - count : 398,   delta_t : 38,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95127368 -2.7628088  -6.93423748]
apriltag bezier - count : 398,   delta_t : 39,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.9518342  -2.76242518 -6.91973686]
apriltag bezier - count : 398,   delta_t : 40,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.9523263  -2.76193738 -6.90519857]
apriltag bezier - count : 398,   delta_t : 41,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95267606 -2.7614603  -6.89068794]
apriltag bezier - count : 398,   delta_t : 42,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95309091 -2.76087809 -6.87625599]
apriltag bezier - count : 398,   delta_t : 43,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95381641 -2.76016045 -6.86129522]
apriltag bezier - count : 398,   delta_t : 44,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95469403 -2.7595427  -6.84640026]
apriltag bezier - count : 398,   delta_t : 45,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95558214 -2.75892711 -6.83158064]
apriltag bezier - count : 398,   delta_t : 46,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95637345 -2.75822949 -6.81682158]
apriltag bezier - count : 398,   delta_t : 47,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.9571774  -2.75747919 -6.80202007]
apriltag bezier - count : 398,   delta_t : 48,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95830965 -2.75665617 -6.78665447]
apriltag bezier - count : 398,   delta_t : 49,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.95955968 -2.75584507 -6.77135801]
apriltag bezier - count : 398,   delta_t : 50,   xf : [ 4.1197629  -2.29140282  0.52927297],   vehicle_position : [ 3.9607904  -2.75514555 -6.75625992]
apriltag bezier - count : 371,   delta_t : 1,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.96132183 -2.75477529 -6.74875355]
apriltag bezier - count : 371,   delta_t : 2,   xf : [ 3.9332912  -2.30832148  0.66230977],   vehicle_position : [ 3.96304321 -2.75362706 -6.72626019]
