self.yaw: 0.7612762451171875
self.home: array('f', [-2.024801015853882, -0.8822138905525208, -3.898160934448242])
apriltag bezier - count : 741,   delta_t : 28,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.49327374 -0.04412562 -7.39215708]
apriltag bezier - count : 741,   delta_t : 29,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.49909449 -0.04672136 -7.38255787]
apriltag bezier - count : 741,   delta_t : 30,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.50481558 -0.04953895 -7.37334585]
apriltag bezier - count : 741,   delta_t : 31,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.51536512 -0.05171614 -7.35301781]
apriltag bezier - count : 741,   delta_t : 32,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.52558184 -0.0545295  -7.33396959]
apriltag bezier - count : 741,   delta_t : 33,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.53221464 -0.05674995 -7.3219409 ]
apriltag bezier - count : 741,   delta_t : 34,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.53221464 -0.05674995 -7.3219409 ]
apriltag bezier - count : 741,   delta_t : 35,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.53221464 -0.05674995 -7.3219409 ]
apriltag bezier - count : 741,   delta_t : 36,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.53221464 -0.05674995 -7.3219409 ]
apriltag bezier - count : 741,   delta_t : 37,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.53221464 -0.05674995 -7.3219409 ]
apriltag bezier - count : 741,   delta_t : 38,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.53221464 -0.05674995 -7.3219409 ]
apriltag bezier - count : 741,   delta_t : 39,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.53871965 -0.05924702 -7.31032705]
apriltag bezier - count : 741,   delta_t : 40,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.54825974 -0.06348095 -7.29381371]
apriltag bezier - count : 741,   delta_t : 41,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.55753899 -0.06827301 -7.27830076]
apriltag bezier - count : 741,   delta_t : 42,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.56357574 -0.07179011 -7.26840258]
apriltag bezier - count : 741,   delta_t : 43,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.57244253 -0.07752025 -7.25419903]
apriltag bezier - count : 741,   delta_t : 44,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.5782423  -0.0816275  -7.24513292]
apriltag bezier - count : 741,   delta_t : 45,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.58677959 -0.08822171 -7.23189735]
apriltag bezier - count : 741,   delta_t : 46,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.59371853 -0.09132509 -7.21872187]
apriltag bezier - count : 741,   delta_t : 47,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.60052013 -0.09471071 -7.20607615]
apriltag bezier - count : 741,   delta_t : 48,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.61047935 -0.10032731 -7.18795681]
apriltag bezier - count : 741,   delta_t : 49,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.62016392 -0.10657836 -7.17090368]
apriltag bezier - count : 741,   delta_t : 50,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.62646723 -0.11108653 -7.16012335]
apriltag bezier - count : 667,   delta_t : 1,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.63567924 -0.118356   -7.14469767]
apriltag bezier - count : 667,   delta_t : 2,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.64167261 -0.12354029 -7.13496876]
apriltag bezier - count : 667,   delta_t : 3,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.65045452 -0.13181201 -7.12114096]
apriltag bezier - count : 667,   delta_t : 4,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.65616989 -0.13765591 -7.11239338]
apriltag bezier - count : 667,   delta_t : 5,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.66455221 -0.14688078 -7.09971571]
apriltag bezier - count : 667,   delta_t : 6,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.67001009 -0.15329999 -7.09129906]
apriltag bezier - count : 667,   delta_t : 7,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.67801571 -0.16326967 -7.07837391]
apriltag bezier - count : 667,   delta_t : 8,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.68324184 -0.1701214  -7.06958199]
apriltag bezier - count : 667,   delta_t : 9,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.6883831  -0.17713898 -7.0606513 ]
apriltag bezier - count : 667,   delta_t : 10,   xf : [-5.48774719 -3.40287352 -1.32098782],   vehicle_position : [-4.69593477 -0.18796782 -7.04692411]
