self.yaw: 3.046074867248535
self.home: array('f', [-0.4219454228878021, 2.5425403118133545, 3.854236364364624])
apriltag bezier - count : 415,   delta_t : 27,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.1226768   2.76003432 -5.48219156]
apriltag bezier - count : 415,   delta_t : 28,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.11819389  2.76063418 -5.47107649]
apriltag bezier - count : 415,   delta_t : 29,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.11360861  2.76141357 -5.45977211]
apriltag bezier - count : 415,   delta_t : 30,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.10909345  2.76205611 -5.4481802 ]
apriltag bezier - count : 415,   delta_t : 31,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.10464854  2.76255798 -5.43640375]
apriltag bezier - count : 415,   delta_t : 32,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.10023647  2.76309156 -5.42432928]
apriltag bezier - count : 415,   delta_t : 33,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.09604396  2.7638278  -5.41236162]
apriltag bezier - count : 415,   delta_t : 34,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.09176634  2.76452899 -5.4003334 ]
apriltag bezier - count : 415,   delta_t : 35,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.08744652  2.76514435 -5.38809681]
apriltag bezier - count : 415,   delta_t : 36,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.08321299  2.76580739 -5.37581921]
apriltag bezier - count : 415,   delta_t : 37,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.07902289  2.76637578 -5.36352777]
apriltag bezier - count : 415,   delta_t : 38,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.07532835  2.76686668 -5.35162354]
apriltag bezier - count : 415,   delta_t : 39,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.07162753  2.76737952 -5.33947897]
apriltag bezier - count : 415,   delta_t : 40,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.06803014  2.76782155 -5.32713938]
apriltag bezier - count : 415,   delta_t : 41,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.0643314   2.76836896 -5.31470013]
apriltag bezier - count : 415,   delta_t : 42,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.06043708  2.76892042 -5.30216789]
apriltag bezier - count : 415,   delta_t : 43,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.0568787   2.76932812 -5.28968906]
apriltag bezier - count : 415,   delta_t : 44,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.05323754  2.76958466 -5.27712631]
apriltag bezier - count : 415,   delta_t : 45,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.04935043  2.7697401  -5.26434994]
apriltag bezier - count : 415,   delta_t : 46,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.04545417  2.76970649 -5.25131989]
apriltag bezier - count : 415,   delta_t : 47,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.04154226  2.76966834 -5.23807096]
apriltag bezier - count : 415,   delta_t : 48,   xf : [0.15632127 3.07889509 2.54966688],   vehicle_position : [-0.03824478  2.76950336 -5.22474098]
